MoneyRaised,AmountPledged,FAQcount,UpdateCount,ofImages,ofVideos,ofDescText,backersMaxRewards,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,noOfRewards,pledgeDescLength,pledge_ColemanLiau,RaisedAndPledgedRatio,followers_count,friends_count,public_list_count,tweets_count,likes_count,positivePercentage,negativePercentage,X.positive,New Backers,Returning Backers,Backers,rating
15570.0,4000.0,0.0,29.0,1.0,1.0,492.0,82.0,278.0,7.0,3.0,1.0,0.0,0.0,0.0,33.0,3.0,121.0,9.92,3.89,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,25.217391304299998,29.0,436.0,322.0,758.0,1.0
883460.0,35000.0,18.0,23.0,31.0,1.0,592.0,9.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,202.0,7.0,331.0,8.09,25.24,1672.0,1641.0,53.0,3850.0,1041.0,1672.0,29.4368600683,345.0,124.0,7895.0,8019.0,1.0
183497.0,26000.0,4.0,24.0,16.0,1.0,294.0,18.0,31.0,1.0,2.0,3.0,0.0,0.0,0.0,41.0,9.0,539.0,8.58,7.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,32.2085889571,105.0,1504.0,3910.0,5414.0,1.0
20338986.0,500000.0,17.0,33.0,32.0,3.0,2291.0,142.0,109.0,3.0,4.0,3.0,1.0,1.0,1031.0,7.0,12.0,282.0,8.68,40.68,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,32.5236907731,6521.0,35097.0,43374.0,78471.0,1.0
2437429.0,250000.0,24.0,83.0,5.0,1.0,930.0,7.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,21.0,14.0,805.0,11.78,9.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,33.2536837913,835.0,4163.0,5359.0,9522.0,0.0
147444.0,100000.0,0.0,25.0,5.0,1.0,574.0,3.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,44.0,10.0,394.0,11.59,1.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,33.8095238095,71.0,942.0,1374.0,2316.0,0.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,0.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
144681.0,10000.0,7.0,22.0,5.0,1.0,1604.0,1.0,15.0,1.0,3.0,2.0,1.0,0.0,0.0,25.0,8.0,259.0,10.22,14.47,3019.0,470.0,125.0,2771.0,1752.0,3019.0,35.7142857143,40.0,1705.0,3931.0,5636.0,1.0
8782571.0,10000.0,19.0,33.0,13.0,1.0,763.0,5.0,302.0,2.0,3.0,1.0,1.0,1.0,1915.0,8.0,4.0,162.0,9.05,878.26,9902.0,149.0,255.0,2210.0,7407.0,9902.0,34.229426433899995,6863.0,95583.0,123799.0,219382.0,1.0
16685.0,3000.0,0.0,8.0,23.0,1.0,1144.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,104.0,41.0,16.0,184.0,17.31,5.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.9065420561,32.0,206.0,924.0,1130.0,0.0
1021481.0,12500.0,11.0,12.0,42.0,4.0,1591.0,2.0,45.0,2.0,5.0,2.0,1.0,1.0,1226.0,359.0,8.0,655.0,11.22,81.72,998.0,70.0,33.0,848.0,1579.0,998.0,32.4355971897,277.0,1278.0,9560.0,10838.0,1.0
380747.0,10000.0,6.0,21.0,13.0,1.0,1897.0,7.0,46.0,1.0,2.0,0.0,0.0,1.0,2277.0,48.0,12.0,333.0,11.41,38.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.321663019699997,134.0,2439.0,6819.0,9258.0,0.0
42792.0,40000.0,6.0,37.0,21.0,1.0,1624.0,0.0,10.0,3.0,1.0,0.0,1.0,1.0,329.0,86.0,11.0,592.0,12.29,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.2321428571,61.0,145.0,1132.0,1277.0,0.0
129164.0,42000.0,3.0,30.0,31.0,1.0,1079.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,56.0,17.0,759.0,10.9,3.08,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.020979021,83.0,1065.0,988.0,2053.0,1.0
41209.0,20000.0,1.0,17.0,9.0,1.0,567.0,4.0,49.0,2.0,3.0,5.0,0.0,1.0,654.0,20.0,6.0,209.0,8.75,2.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,24.657534246599997,18.0,347.0,319.0,666.0,1.0
313157.0,250000.0,0.0,28.0,25.0,2.0,2423.0,1.0,26.0,1.0,4.0,1.0,0.0,1.0,4977.0,6.0,128.0,9356.0,11.08,1.25,2600.0,1830.0,72.0,741.0,30.0,2600.0,29.501915708800002,77.0,2417.0,1828.0,4245.0,1.0
813803.0,50000.0,12.0,23.0,37.0,3.0,1474.0,2.0,33.0,2.0,4.0,3.0,1.0,0.0,0.0,128.0,17.0,579.0,10.66,16.28,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.072992700700002,206.0,751.0,2240.0,2991.0,0.0
20512.0,8000.0,3.0,16.0,7.0,1.0,782.0,7.0,5.0,1.0,3.0,1.0,1.0,1.0,835.0,26.0,9.0,320.0,11.24,2.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.5714285714,26.0,116.0,730.0,846.0,1.0
350749.0,78000.0,3.0,13.0,45.0,1.0,1626.0,368.0,3.0,2.0,1.0,10.0,1.0,1.0,589.0,57.0,9.0,406.0,9.28,4.5,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.7752808989,53.0,415.0,1730.0,2145.0,1.0
2236.0,500.0,0.0,0.0,0.0,1.0,541.0,20.0,2.0,1.0,1.0,3.0,1.0,1.0,827.0,2.0,4.0,102.0,8.76,4.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,16.6666666667,1.0,52.0,20.0,72.0,0.0
156027.0,7500.0,5.0,23.0,21.0,1.0,1464.0,13.0,26.0,3.0,3.0,10.0,1.0,1.0,243.0,75.0,21.0,577.0,8.23,20.8,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,26.006191950500003,84.0,571.0,3105.0,3676.0,1.0
27738.0,10000.0,0.0,20.0,0.0,1.0,707.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,17.0,813.0,10.32,2.77,2741.0,380.0,80.0,4818.0,3093.0,2741.0,28.5714285714,8.0,130.0,103.0,233.0,1.0
268437.0,50000.0,11.0,14.0,14.0,1.0,988.0,23.0,69.0,2.0,1.0,3.0,0.0,1.0,1587.0,75.0,9.0,392.0,12.06,5.37,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.9682539683,73.0,948.0,2577.0,3525.0,1.0
406237.0,200000.0,5.0,64.0,5.0,1.0,640.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,86.0,23.0,908.0,12.17,2.03,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.291390728499998,189.0,1270.0,4500.0,5770.0,1.0
883460.0,35000.0,18.0,23.0,31.0,1.0,592.0,9.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,202.0,7.0,331.0,8.09,25.24,1672.0,1641.0,53.0,3850.0,1041.0,1672.0,29.4368600683,345.0,124.0,7895.0,8019.0,1.0
32616.0,10000.0,4.0,11.0,5.0,1.0,519.0,10.0,17.0,1.0,1.0,10.0,0.0,1.0,999.0,30.0,7.0,225.0,10.07,3.26,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,26.4957264957,31.0,269.0,580.0,849.0,1.0
13065.0,10000.0,1.0,12.0,5.0,1.0,526.0,1.0,6.0,1.0,2.0,3.0,0.0,1.0,255.0,6.0,8.0,773.0,8.59,1.31,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,41.6666666667,10.0,125.0,293.0,418.0,1.0
90074.0,40000.0,25.0,29.0,17.0,1.0,1122.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,33.0,15.0,609.0,8.99,2.25,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.9358974359,109.0,139.0,467.0,606.0,1.0
568106.0,25000.0,10.0,16.0,15.0,1.0,1458.0,0.0,68.0,2.0,3.0,1.0,1.0,1.0,1263.0,66.0,12.0,241.0,11.93,22.72,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.520295203000003,160.0,5411.0,5713.0,11124.0,1.0
41209.0,20000.0,1.0,17.0,9.0,1.0,567.0,4.0,49.0,2.0,3.0,3.0,0.0,1.0,654.0,20.0,6.0,209.0,8.75,2.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,24.657534246599997,18.0,347.0,319.0,666.0,1.0
107125.0,100000.0,6.0,31.0,31.0,1.0,1324.0,0.0,9.0,1.0,1.0,3.0,1.0,1.0,708.0,44.0,10.0,479.0,7.46,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.2798833819,97.0,280.0,560.0,840.0,0.0
9740.0,7500.0,4.0,16.0,0.0,0.0,1328.0,1.0,11.0,2.0,3.0,0.0,0.0,1.0,833.0,3.0,9.0,322.0,12.93,1.3,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,23.0769230769,3.0,102.0,305.0,407.0,1.0
29812.0,28000.0,4.0,85.0,12.0,0.0,1120.0,2.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,13.0,772.0,9.05,1.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.5,11.0,92.0,204.0,296.0,1.0
823003.0,100000.0,8.0,16.0,9.0,1.0,1692.0,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,101.0,5.0,105.0,11.86,8.23,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.6708229426,254.0,1546.0,2538.0,4084.0,1.0
248873.0,100000.0,0.0,22.0,4.0,1.0,131.0,0.0,13.0,1.0,4.0,8.0,0.0,1.0,1847.0,120.0,9.0,447.0,12.65,2.49,247.0,1690.8857142857,8.0,16.0,1.0,247.0,30.4621848739,145.0,2118.0,1979.0,4097.0,0.0
315222.0,40000.0,11.0,15.0,35.0,1.0,1353.0,26.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,173.0,8.0,311.0,10.7,7.88,16488.0,208.0,180.0,7834.0,3867.0,16488.0,28.4776902887,217.0,614.0,1175.0,1789.0,0.0
19504.0,12000.0,9.0,17.0,16.0,1.0,1028.0,2.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,54.0,14.0,656.0,12.04,1.63,19773.0,1283.0,47.0,610.0,763.0,19773.0,31.818181818200003,49.0,28.0,217.0,245.0,0.0
178613.0,60000.0,5.0,22.0,20.0,1.0,1627.0,3.0,34.0,2.0,2.0,10.0,1.0,1.0,1961.0,83.0,7.0,312.0,11.19,2.98,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.759656652399997,74.0,505.0,1497.0,2002.0,0.0
278486.0,150000.0,8.0,14.0,12.0,2.0,2528.0,0.0,20.0,2.0,4.0,3.0,1.0,0.0,0.0,37.0,27.0,1817.0,8.04,1.86,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.0,87.0,1143.0,2162.0,3305.0,1.0
26364.0,1500.0,5.0,20.0,6.0,2.0,1139.0,19.0,40.0,5.0,5.0,3.0,1.0,1.0,487.0,15.0,7.0,287.0,12.82,17.58,1703.0,1471.0,76.0,5815.0,3205.0,1703.0,28.5714285714,14.0,59.0,567.0,626.0,1.0
1552256.0,30000.0,62.0,21.0,25.0,1.0,2009.0,108.0,7.0,2.0,1.0,8.0,1.0,0.0,0.0,264.0,16.0,672.0,6.95,51.74,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,33.4403669725,729.0,4043.0,6117.0,10160.0,1.0
5702153.0,2000000.0,30.0,102.0,7.0,1.0,2127.0,1.0,13.0,1.0,3.0,1.0,0.0,0.0,0.0,48.0,32.0,3120.0,10.62,2.85,68124.0,300.0,889.0,2219.0,918.0,68124.0,32.3341645885,6483.0,59219.0,32366.0,91585.0,1.0
90840.0,20000.0,8.0,38.0,26.0,4.0,1029.0,0.0,29.0,2.0,5.0,2.0,1.0,1.0,601.0,93.0,13.0,354.0,13.18,4.54,2141.0,459.0,122.0,3434.0,2603.0,2141.0,28.136882129299998,74.0,260.0,835.0,1095.0,0.0
65929.0,45000.0,4.0,14.0,26.0,1.0,1121.0,4.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,33.0,7.0,276.0,12.39,1.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.4262295082,42.0,146.0,1285.0,1431.0,1.0
79744.0,25000.0,7.0,39.0,7.0,1.0,2130.0,1.0,23.0,2.0,5.0,0.0,1.0,1.0,510.0,24.0,11.0,481.0,8.91,3.19,1715.0,464.0,52.0,2123.0,1959.0,1715.0,24.0,24.0,429.0,1215.0,1644.0,1.0
141467.0,30000.0,0.0,45.0,5.0,1.0,544.0,2.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,5.0,11.0,556.0,7.99,4.72,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,38.8888888889,35.0,276.0,2781.0,3057.0,1.0
1362343.0,500000.0,15.0,30.0,39.0,2.0,2338.0,7.0,7.0,1.0,3.0,10.0,1.0,0.0,0.0,463.0,7.0,253.0,10.33,2.72,27099.0,267.0,207.0,3536.0,4397.0,27099.0,30.8277506529,2715.0,1202.0,2409.0,3611.0,1.0
134403.0,25000.0,0.0,18.0,0.0,1.0,391.0,10.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,10.0,319.0,9.52,5.38,39475.0,490.0,1033.0,8497.0,6301.0,39475.0,29.1095890411,85.0,1284.0,1974.0,3258.0,1.0
88771.0,12000.0,2.0,12.0,46.0,1.0,1841.0,0.0,40.0,8.0,3.0,8.0,1.0,1.0,539.0,14.0,7.0,383.0,9.1,7.4,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,22.448979591799997,11.0,330.0,465.0,795.0,0.0
301212.0,50000.0,15.0,35.0,42.0,1.0,1017.0,10.0,23.0,1.0,3.0,8.0,1.0,1.0,719.0,219.0,9.0,259.0,12.58,6.02,1105.0,506.0,124.0,886.0,6149.0,1105.0,31.7965023847,200.0,608.0,2013.0,2621.0,0.0
1811321.0,100000.0,8.0,27.0,24.0,1.0,2438.0,5.0,6.0,1.0,4.0,3.0,0.0,0.0,0.0,139.0,24.0,1110.0,10.37,18.11,106.0,1.0,2.0,28.0,4399.6086956521995,106.0,30.555555555599998,737.0,4346.0,6162.0,10508.0,1.0
30201.0,25000.0,3.0,20.0,27.0,2.0,1141.0,0.0,32.0,1.0,2.0,3.0,1.0,1.0,484.0,36.0,7.0,191.0,6.1,1.21,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.210526315799996,26.0,227.0,542.0,769.0,0.0
260235.0,120000.0,3.0,47.0,59.0,1.0,1480.0,1.0,176.0,3.0,1.0,3.0,1.0,0.0,0.0,196.0,24.0,1200.0,10.39,2.17,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.9431021044,794.0,1036.0,6528.0,7564.0,0.0
791862.0,160000.0,20.0,24.0,37.0,1.0,1680.0,3.0,49.0,2.0,3.0,0.0,1.0,0.0,0.0,423.0,11.0,711.0,11.31,4.95,2766.0,862.0,16.0,506.0,1508.0,2766.0,32.7526132404,658.0,748.0,3814.0,4562.0,1.0
46253.0,11000.0,3.0,24.0,17.0,1.0,767.0,14.0,8.0,2.0,1.0,10.0,1.0,1.0,903.0,48.0,12.0,376.0,9.91,4.2,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.210526315799996,39.0,187.0,1001.0,1188.0,1.0
34664.0,15000.0,0.0,24.0,27.0,7.0,882.0,3.0,7.0,1.0,3.0,10.0,1.0,1.0,863.0,14.0,9.0,315.0,11.19,2.31,3207.0,3645.0,38.0,203.0,285.0,3207.0,22.5806451613,14.0,301.0,861.0,1162.0,1.0
205121.0,45000.0,6.0,41.0,22.0,4.0,1451.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,197.0,17.0,467.0,5.9,4.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.232558139499996,312.0,1026.0,3065.0,4091.0,0.0
600874.0,110000.0,1.0,68.0,26.0,1.0,1269.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,555.0,82.0,43.0,4191.0,11.95,5.46,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,32.9974811083,262.0,4442.0,6727.0,11169.0,1.0
32805.0,6000.0,1.0,24.0,24.0,1.0,1395.0,3.0,7.0,1.0,1.0,10.0,1.0,0.0,0.0,91.0,10.0,329.0,7.33,5.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.0701754386,64.0,23.0,496.0,519.0,1.0
1290439.0,100000.0,6.0,29.0,27.0,1.0,2063.0,3.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,214.0,14.0,762.0,10.09,12.9,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.6415929204,277.0,1087.0,2428.0,3515.0,0.0
905682.0,50000.0,3.0,50.0,48.0,1.0,1350.0,8777.0,50.0,26.0,1.0,1.0,1.0,0.0,0.0,59.0,2.0,56.0,16.39,18.11,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.3249727372,4596.0,963.0,8862.0,9825.0,1.0
9192055.0,20000.0,12.0,21.0,42.0,1.0,675.0,61.0,28.0,2.0,1.0,10.0,1.0,0.0,0.0,210.0,43.0,1568.0,10.44,459.6,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.931231130500002,3569.0,20487.0,24462.0,44949.0,0.0
12903.0,10000.0,0.0,13.0,14.0,3.0,1340.0,4.0,17.0,1.0,1.0,3.0,1.0,1.0,296.0,9.0,8.0,134.0,11.5,1.29,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,41.935483871,13.0,111.0,176.0,287.0,1.0
813803.0,50000.0,12.0,23.0,37.0,3.0,1474.0,2.0,33.0,2.0,4.0,1.0,1.0,0.0,0.0,128.0,17.0,579.0,10.66,16.28,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.072992700700002,206.0,751.0,2240.0,2991.0,0.0
11115.0,10000.0,0.0,10.0,8.0,1.0,947.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,17.0,9.0,541.0,8.87,1.11,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,46.8085106383,22.0,75.0,123.0,198.0,1.0
781597.0,20000.0,5.0,76.0,60.0,1.0,2602.0,1.0,50.0,26.0,1.0,1.0,1.0,0.0,0.0,124.0,13.0,184.0,10.7,39.08,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.4095621229,2030.0,2040.0,3218.0,5258.0,1.0
277399.0,50000.0,11.0,14.0,26.0,1.0,2739.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,33.0,1582.0,11.77,5.55,49382.0,1906.0,1101.0,321.0,16059.0,49382.0,31.7927170868,227.0,1875.0,5378.0,7253.0,1.0
107662.0,10000.0,0.0,15.0,15.0,1.0,772.0,0.0,9.0,2.0,3.0,8.0,1.0,1.0,729.0,1.0,74.0,3926.0,11.02,10.77,1786.0,465.0,12.0,611.0,456.0,1786.0,32.8395061728,133.0,737.0,1412.0,2149.0,1.0
20764.0,7000.0,1.0,8.0,12.0,1.0,826.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,19.0,11.0,870.0,10.21,2.97,3185.0,251.0,7.0,80.0,69.0,3185.0,30.9523809524,13.0,88.0,309.0,397.0,1.0
35798.0,30000.0,0.0,14.0,7.0,1.0,876.0,0.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,14.0,11.0,544.0,11.2,1.19,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.027027027,10.0,318.0,367.0,685.0,1.0
212265.0,9800.0,7.0,35.0,8.0,1.0,1337.0,0.0,4.0,4.0,2.0,3.0,1.0,1.0,161.0,349.0,16.0,337.0,10.42,21.66,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.8483290488,240.0,1724.0,2817.0,4541.0,0.0
1604.0,1500.0,7.0,20.0,8.0,0.0,469.0,0.0,144.0,1.0,1.0,5.0,1.0,1.0,256.0,2.0,7.0,89.0,11.16,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,40.0,2.0,7.0,74.0,81.0,1.0
9192055.0,20000.0,12.0,21.0,42.0,1.0,675.0,61.0,28.0,2.0,1.0,10.0,1.0,0.0,0.0,210.0,43.0,1568.0,10.44,459.6,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.931231130500002,3569.0,20487.0,24462.0,44949.0,0.0
32226.0,28800.0,7.0,37.0,13.0,1.0,796.0,0.0,19.0,4.0,3.0,3.0,1.0,1.0,3993.0,7.0,18.0,890.0,9.04,1.12,15502.0,148.0,635.0,14528.0,8177.0,15502.0,37.5,12.0,90.0,682.0,772.0,1.0
10587.0,10000.0,0.0,9.0,23.0,2.0,965.0,0.0,16.0,1.0,4.0,3.0,1.0,1.0,1065.0,0.0,14.0,566.0,7.4,1.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,0.0,0.0,35.0,41.0,76.0,0.0
72256.0,10000.0,0.0,17.0,64.0,1.0,1494.0,0.0,10.0,3.0,9.0,0.0,1.0,0.0,0.0,68.0,16.0,457.0,2.46,7.23,3728.0,2497.0,80.0,1816.0,6154.0,3728.0,34.375,77.0,73.0,1916.0,1989.0,1.0
52175.0,20000.0,1.0,17.0,0.0,1.0,693.0,3.0,25.0,1.0,1.0,0.0,0.0,1.0,1654.0,9.0,9.0,298.0,11.73,2.61,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.914893616999997,15.0,329.0,464.0,793.0,1.0
