Id,Number of Rating,rating
1,36245,4.8
2,992,4.2
3,147,4.2
4,1315,4.1
5,496,3.8
6,150,3.9
7,622,4.2
8,309,4.1
9,211,3.9
10,85,4.1
11,155,4.2
12,72,4.1
13,422,4.3
14,6158,4.5
15,213,2.9
16,274,4
17,57,3.8
18,82,3.9
19,564,4.1
20,871,4.6
21,876,4.7
22,189,3.4
23,411,4.7
24,185,4.1
25,60,3.6
26,88,4.3
27,52,4.8
28,5,4.5
29,84,5
30,992,4.2
31,96,4.5
32,86,4.5
33,11,4.7
34,292,4.5
35,104,4.4
36,2,2.5
37,13,4
38,33,4.3
39,275,4.1
40,1147,3.4
41,364,3.8
42,736,2.8
43,155,3.9
44,24,4.7
45,1308,4
46,309,4
47,309,5
48,17,3.7
49,101,4.1
50,135,4.6
51,48,4.6
52,540,4.1
53,5,5
54,10,3.5
55,90,3.3
56,481,4.2
57,62,3.7
58,12,1.9
59,389,4.3
60,55,4.6
61,95,4.6
62,186,2.6
63,118,4.4
64,31,4.9
65,18,3.8
66,142,4.7
67,8,3.3
68,10,4
69,74,2.9
70,51,4.3
71,111,4.8
72,96,4.8
73,284,4.3
74,3,4.3
75,155,4.3
76,167,2.5
77,27,4
78,11,3.6
79,59,4.7
80,6,3.1
81,41,4
82,41,4.6
83,27,4
84,3,3.4
85,43,4.2
86,25,4.2
87,70,3.9
88,176,4.6
89,2,4.5
90,13,4
91,1086,4.1
92,66,3.8
93,86,4.5
94,160,3.1
95,30,4.7
96,1086,4.1
97,104,4.1
98,33,4.2
99,33,4.6
100,154,3.5
101,871,4.6
102,3,3.4
103,12,5
104,30,4.2
105,13,3.8
106,176,4.6
107,134,3.5
108,61,4.1
109,27,4.1
110,7,2.6
111,11,4.7
112,61,4.1
113,15,4.2
114,94,4.5
115,9,4.3
116,2,5
117,45,4.2
118,992,4.2
119,82,4.6
120,66,4
121,10,3.2
122,10,4.5
123,14,3.9
124,4,5
125,49,3.8
126,78,2.8
127,33,4.3
128,246,4.4
129,240,4.2
130,38,3.9
131,92,3.6
132,167,4.7
133,10,5
134,10,3.4
135,1086,4.1
136,14,3.6
137,871,4.6
138,12,5
139,47,4.4
140,211,4.6
141,2,3
142,45,4.7
143,15,4
144,50,4.6
145,50,4
146,50,4.3
147,36,4.6
148,41,3.6
149,194,4.6
150,75,4.8
151,14,3.8
152,75,4.1
153,58,4.2
154,62,4.1
155,22,4.8
156,45,3.7
157,16,4.5
158,6,5
159,736,2.8
160,5,4.7
161,340,4.7
162,8,3.1
163,4,3.2
164,12,4.4
165,9,3.4
166,45,3.3
167,137,4.2
168,204,3.4
169,56,4.2
170,12,4.6
171,104,4.4
172,2,4.5
173,104,4.1
174,74,4.4
175,5,3.8
176,40,4.2
177,43,4.2
178,9,4.4
179,22,4.4
180,7,3.1
181,5,4.7
182,1,5
183,29,4.3
184,29,4.2
185,2,4.5
186,50,4.8
187,43,4.2
188,5,3.7
189,12,4.6
190,11,5
191,2,5
192,3,4.3
193,3,4.3
194,11,3.6
195,5,4.5
196,5,4.2
197,74,4.4
198,34,4.5
199,325,4
200,31,4.7
201,14,3.8
202,204,3.4
203,77,3.8
204,7,5
205,21,4.3
206,42,4.2
207,3545,3.1
208,211,4.6
209,52,4
210,56,4.4
211,6,3.9
212,31,3.8
213,245,3.7
214,6,5
215,104,4.4
216,16,3.9
217,14,4.9
218,47,3.9
219,58,3.1
220,211,4.6
221,12,4.1
222,6,4.5
223,28,4.7
224,658,3.6
225,38,4.2
226,39,4.9
227,47,3.7
228,4,4.2
229,42,4.9
230,14,3.4
231,35,4.5
232,207,4.1
233,20,4.3
234,6,4.4
235,76,2.7
236,14,3.8
237,2,5
238,10,5
239,10,4.1
240,44,3.2
241,17,4.6
242,186,4.8
243,29,3.6
244,54,4.3
245,18,4.6
246,135,4.1
247,34,4.8
248,3,4.2
249,8,5
250,9,4.2
251,31,4.4
252,11,3.1
253,58,4.6
254,186,3.9
255,1,5
256,30,4.6
257,16,3.9
258,41,4.4
259,1,5
260,19,5
261,107,4.4
262,9,3.8
263,4,2.3
264,5,3.9
265,1,5
266,56,4.2
267,23,4.9
268,9,4.8
269,84,4.1
270,14,4.3
271,9,5
272,6,4.1
273,36,3.9
274,67,4.2
275,3,5
276,35,3.7
277,5,3.9
278,23,4.2
279,4,3.7
280,36,2.1
281,8,4.4
282,47,3.7
283,15,4
284,5,4.5
285,8,5
286,254,3
287,14,3.6
288,96,4.5
289,3,5
290,3,3.7
291,8,2.9
292,3,3.5
293,4,3.3
294,17,5
295,48,4.2
296,15,3
297,3,5
298,6,4.8
299,7,3.5
300,22,4.1
301,14,5
302,17,4.1
303,12,3.8
304,8,5
305,15,3
306,4,2.3
307,6,4.2
308,28,4.2
309,5,5
310,12,3.8
311,2,5
312,4,5
313,7,3.2
314,5,5
315,13,3.9
316,4,5
317,3,3.5
318,2,4.1
319,52,2.3
320,18,3.4
321,37,4
322,32,3.8
323,26,3.7
324,7,4.1
325,13,4.6
326,6,4.2
327,4,3.3
328,101,4.4
329,11,3.5
330,24,4
331,7,3
332,25,3.2
333,8,1.6
334,3,5
335,10,3.8
336,78,4.8
337,5,5
338,5,3
339,14,4.4
340,7,5
341,9,2.7
342,11,3.9
343,43,4.2
344,29,3.4
345,8,3.9
346,11,5
347,78,3.6
348,3,4.3
349,216,2.9
350,7,5
351,5,3.6
352,4,4.5
353,2,5
354,9,2.8
355,4,3.6
356,14,3.4
357,11,3.3
358,6,4.6
359,14,3.4
360,2,5
361,2,5
362,30,3.4
363,11,3.3
364,18,3
365,18,4.1
366,2,5
367,2,5
368,25,4.5
369,4,5
370,3,5
371,1,1
372,1,5
373,1,5
374,354,4.2
375,3,1
